Device Name,Date,Time,RES_0
RES,2024-11-22,12:00:04,0.01
RES,2024-11-22,12:01:34,0.01
RES,2024-11-22,12:03:04,0.01
RES,2024-11-22,12:04:34,0.01
RES,2024-11-22,12:06:04,0.01
RES,2024-11-22,12:07:34,0.01
RES,2024-11-22,12:09:04,0.01
RES,2024-11-22,12:10:34,0.01
RES,2024-11-22,12:12:05,0.01
RES,2024-11-22,12:13:34,0.01
RES,2024-11-22,12:15:04,0.01
RES,2024-11-22,12:16:34,500.00
RES,2024-11-22,12:18:04,0.01
RES,2024-11-22,12:19:34,0.01
RES,2024-11-22,12:21:04,0.02
RES,2024-11-22,12:22:35,0.02
RES,2024-11-22,12:24:04,0.02
RES,2024-11-22,12:25:34,0.02
RES,2024-11-22,12:27:04,0.02
RES,2024-11-22,12:28:34,0.02
RES,2024-11-22,12:30:04,0.02
RES,2024-11-22,12:31:34,0.02
RES,2024-11-22,12:33:05,0.02
RES,2024-11-22,12:34:34,0.02
RES,2024-11-22,12:36:05,0.02
RES,2024-11-22,12:37:34,0.02
RES,2024-11-22,12:39:04,0.02
RES,2024-11-22,12:40:34,0.02
RES,2024-11-22,14:44:00,0.02
RES,2024-11-22,14:45:30,0.01
RES,2024-11-22,14:47:00,0.01
RES,2024-11-22,14:48:30,0.01
RES,2024-11-22,14:50:00,0.01
RES,2024-11-22,14:51:30,0.01
RES,2024-11-22,14:53:00,0.01
RES,2024-11-22,14:54:30,0.01
RES,2024-11-22,14:56:00,0.01
RES,2024-11-22,14:57:30,0.01
RES,2024-11-22,14:59:00,0.01
RES,2024-11-22,15:00:30,0.01
RES,2024-11-22,15:02:00,0.01
RES,2024-11-22,15:03:31,0.01
RES,2024-11-22,15:05:00,0.01
RES,2024-11-22,15:06:31,0.01
RES,2024-11-22,15:08:00,0.01
RES,2024-11-22,15:09:30,0.01
RES,2024-11-22,15:11:00,0.01
RES,2024-11-22,15:12:30,0.01
RES,2024-11-22,15:14:01,0.01
RES,2024-11-22,15:15:30,0.01
RES,2024-11-22,15:17:01,0.01
RES,2024-11-22,15:18:30,0.01
RES,2024-11-22,15:20:00,0.01
RES,2024-11-22,15:21:30,0.01
RES,2024-11-22,15:23:00,0.01
RES,2024-11-22,15:26:54,0.01
RES,2024-11-22,15:28:24,0.01
RES,2024-11-22,15:29:54,0.01
RES,2024-11-22,15:31:24,0.01
RES,2024-11-22,15:32:54,0.01
